nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Fix Benson's Hips ,69,"2,318",3000,0.773,0,0,Animals," September 9, 2016",9,9/9/16,9/25/16,16,30,15,MARBLEHEAD,MA,62000,0,3,,3
Portland CT Police Dept. K9 Unit,70,"3,355",15000,0.224,0,0,Animals," September 14, 2016",9,9/14/16,9/25/16,11,37,11,PORTLAND,CT,351000,0,1,,1
Rescuing 'Baby',71,"1,400",2000,0.7,0,0,Animals," April 18, 2016",4,4/18/16,9/25/16,160,25,5,THOUSAND OAKS,CA,682000,0,30,,30
Help Save Cassidy,72,950,30000,0.032,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,12,1,PHOENIX,AZ,23000,0,0,,
Get Tyler Graff to the Olympics,73,"2,660",10000,0.266,0,0,Rio Athletes," November 4, 2015",11,11/4/15,9/25/16,326,26,10,LOVELAND,CO,626000,0,0,,
Help Mac Breathe easy ,74,"13,125",13000,1.01,1,0,Animals," March 8, 2016",3,3/8/16,9/25/16,201,414,6,STATEN ISLAND,NY,610000,5,10,5,10
Zeus' chance at a really great life,75,"3,525",4000,0.881,0,0,Animals," July 1, 2016",7,7/1/16,9/25/16,86,69,2,DALLAS,TX,1300,1,7,1,7
It takes a village to help Janko!,76,"5,758",10000,0.576,0,0,Animals," July 25, 2016",7,7/25/16,9/25/16,62,154,2,MIAMI,FL,492000,9,14,9,14
Save Charley's Heart,77,"1,040",2800,0.371,0,0,Animals," September 19, 2016",9,9/19/16,9/25/16,6,27,6,DALLAS,TX,195000,0,3,,3
Saving Philly,78,575,8000,0.072,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,11,18,MARIETTA,GA,73000,0,3,,3
Wild Wolves Need Range Riders,79,"17,936",25000,0.717,0,0,Animals," February 10, 2016",2,2/10/16,9/25/16,228,139,7,JULIAN,CA,425000,2,18,2,18
Helping Sarge,80,"8,056",12500,0.644,0,0,Animals," April 9, 2015",4,4/9/15,9/25/16,535,225,17,PALMER,MA,707000,0,1,,1
Save Our Shelter,81,"11,430",10000,1.143,1,1,Animals," August 13, 2014",8,8/13/14,9/25/16,774,188,25,SHREVEPORT,LA,1600,1,1,1,1
The Downtown Dog Rescue Kennel Project  ,82,"370,195",370000,1.001,1,0,Animals," July 21, 2013",7,7/21/13,9/25/16,1162,542,38,PASADENA,CA,4600,3,7,3,7
My Dog Needs Your Help,83,165,2500,0.066,0,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,8,2,HAMBURG,PA,100000,1,6,1,6
Westchester Dog Park Friends,84,"24,488",35000,0.7,0,0,Animals," February 1, 2016",2,2/1/16,9/25/16,237,47,7,WESTCHESTER,IL,308000,2,2,2,2
Beaumont Police K9 Program,85,"25,180",25000,1.007,1,0,Animals," April 21, 2016",4,4/21/16,9/25/16,157,63,5,BEAUMONT,CA,537000,0,4,,4
My Dog Needs Your Help,86,165,2500,0.066,0,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,8,2,HAMBURG,PA,100000,1,6,1,6
Lilly the abused pet piggy ,87,430,1500,0.287,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,7,2,CEDAR PARK,TX,153000,2,4,2,4
Lets Get Max Better,88,200,1500,0.133,0,0,Animals," September 17, 2016",9,9/17/16,9/25/16,8,10,8,NEW BRITAIN,CT,14000,1,0,1,
Mangoworm Relief for Dogs and Cats,89,"3,415",4000,0.854,0,0,Animals," July 13, 2016",7,7/13/16,9/25/16,74,87,2,HUNTINGTON BEACH,CA,328000,7,17,7,17
Save Chewy's Life,90,"6,125",6125,1,1,0,Animals," May 26, 2016",5,5/26/16,9/25/16,122,75,4,REGO PARK,NY,489000,7,6,7,6
Vet costs for Red,91,740,3500,0.211,0,0,Animals," September 13, 2016",9,9/13/16,9/25/16,12,33,11,COLLINSVILLE,IL,314000,3,8,3,8
